hwt10
Partitioned - Decimal
 13185: 0002100020 1707
 13186: 0021010200 5202
 13187: 0021020200 5283
 13188: 0021100200 5364
 13189: 0211102000 16335
 13190: 0211202000 16578
 13191: 0021200200 5607
 13192: 0212102000 17064
 13193: 0212202000 17307
 13194: 0002200020 1950
 13195: 0022010200 5931
 13196: 0022020200 6012
 13197: 0022100200 6093
 13198: 0221102000 18522
 13199: 0221202000 18765
 13200: 0022200200 6336
 13201: 0222102000 19251
 13202: 0222202000 19494
 13203: 0001000002 731
 13204: 0010001020 2220
 13205: 0010002020 2247
 13206: 0010010020 2274
 13207: 0100110200 6903
 13208: 0100120200 6984
 13209: 0010020020 2355
 13210: 0100210200 7146
 13211: 0100220200 7227
 13212: 0010100020 2436
 13213: 0101010200 7389
 13214: 0101020200 7470
 13215: 0101100200 7551
 13216: 1011102000 22896
 13217: 1011202000 23139
 13218: 0101200200 7794
 13219: 1012102000 23625
 13220: 1012202000 23868
 13221: 0010200020 2679
 13222: 0102010200 8118
 13223: 0102020200 8199
 13224: 0102100200 8280
 13225: 1021102000 25083
 13226: 1021202000 25326
 13227: 0102200200 8523
 13228: 1022102000 25812
 13229: 1022202000 26055
 13230: 0011000020 2922
 13231: 0110010200 8847
 13232: 0110020200 8928
 13233: 0110100200 9009
 13234: 1101102000 27270
 13235: 1101202000 27513
 13236: 0110200200 9252
 13237: 1102102000 27999
 13238: 1102202000 28242
 13239: 0111000200 9495
 13240: 1110102000 28728
 13241: 1110202000 28971
 13242: 1111002000 29214
 13243: 1111020001 29323
 13244: 1112020001 30052
 13245: 1112002000 29943
 13246: 1121020001 31510
 13247: 1122020001 32239
 13248: 0112000200 10224
 13249: 1120102000 30915
 13250: 1120202000 31158
 13251: 1121002000 31401
 13252: 1211020001 35884
 13253: 1212020001 36613
 13254: 1122002000 32130
 13255: 1221020001 38071
 13256: 1222020001 38800
 13257: 0012000020 3651
 13258: 0120010200 11034
 13259: 0120020200 11115
 13260: 0120100200 11196
 13261: 1201102000 33831
 13262: 1201202000 34074
 13263: 0120200200 11439
 13264: 1202102000 34560
 13265: 1202202000 34803
 13266: 0121000200 11682
 13267: 1210102000 35289
 13268: 1210202000 35532
 13269: 1211002000 35775
 13270: 2111020001 49006
 13271: 2112020001 49735
 13272: 1212002000 36504
 13273: 2121020001 51193
 13274: 2122020001 51922
 13275: 0122000200 12411
 13276: 1220102000 37476
 13277: 1220202000 37719
 13278: 1221002000 37962
 13279: 2211020001 55567
 13280: 2212020001 56296
 13281: 1222002000 38691
 13282: 2221020001 57754
 13283: 2222020001 58483
 13284: 0002000002 1460
 13285: 0020001020 4407
 13286: 0020002020 4434
 13287: 0020010020 4461
 13288: 0200110200 13464
 13289: 0200120200 13545
 13290: 0020020020 4542
 13291: 0200210200 13707
 13292: 0200220200 13788
 13293: 0020100020 4623
 13294: 0201010200 13950
 13295: 0201020200 14031
 13296: 0201100200 14112
 13297: 2011102000 42579
 13298: 2011202000 42822
 13299: 0201200200 14355
 13300: 2012102000 43308
 13301: 2012202000 43551
 13302: 0020200020 4866
 13303: 0202010200 14679
 13304: 0202020200 14760
 13305: 0202100200 14841
 13306: 2021102000 44766
 13307: 2021202000 45009
 13308: 0202200200 15084
 13309: 2022102000 45495
 13310: 2022202000 45738
 13311: 0021000020 5109
 13312: 0210010200 15408
 13313: 0210020200 15489
 13314: 0210100200 15570
 13315: 2101102000 46953
 13316: 2101202000 47196
 13317: 0210200200 15813
 13318: 2102102000 47682
 13319: 2102202000 47925
 13320: 0211000200 16056
 13321: 2110102000 48411
 13322: 2110202000 48654
 13323: 2111002000 48897
 13324: 1111020002 29324
 13325: 1112020002 30053
 13326: 2112002000 49626
 13327: 1121020002 31511
 13328: 1122020002 32240
 13329: 0212000200 16785
 13330: 2120102000 50598
 13331: 2120202000 50841
 13332: 2121002000 51084
 13333: 1211020002 35885
 13334: 1212020002 36614
 13335: 2122002000 51813
 13336: 1221020002 38072
 13337: 1222020002 38801
 13338: 0022000020 5838
 13339: 0220010200 17595
 13340: 0220020200 17676
 13341: 0220100200 17757
 13342: 2201102000 53514
 13343: 2201202000 53757
 13344: 0220200200 18000
 13345: 2202102000 54243
 13346: 2202202000 54486
 13347: 0221000200 18243
 13348: 2210102000 54972
 13349: 2210202000 55215
 13350: 2211002000 55458
 13351: 2111020002 49007
 13352: 2112020002 49736
 13353: 2212002000 56187
 13354: 2121020002 51194
 13355: 2122020002 51923
 13356: 0222000200 18972
 13357: 2220102000 57159
 13358: 2220202000 57402
 13359: 2221002000 57645
 13360: 2211020002 55568
 13361: 2212020002 56297
 13362: 2222002000 58374
 13363: 2221020002 57755
 13364: 2222020002 58484
 13365: 0010000002 2189
 13366: 0100001020 6594
 13367: 0100002020 6621
 13368: 0100010020 6648
 13369: 1000110200 20025
 13370: 1000120200 20106
 13371: 0100020020 6729
 13372: 1000210200 20268
 13373: 1000220200 20349
 13374: 0100100020 6810
 13375: 1001010200 20511
 13376: 1001020200 20592
 13377: 1001100200 20673
 13378: 0011102001 3214
 13379: 0011202001 3457
 13380: 1001200200 20916
 13381: 0012102001 3943
 13382: 0012202001 4186
 13383: 0100200020 7053
 13384: 1002010200 21240
 13385: 1002020200 21321
 13386: 1002100200 21402
 13387: 0021102001 5401
 13388: 0021202001 5644
 13389: 1002200200 21645
 13390: 0022102001 6130
 13391: 0022202001 6373
 13392: 0101000020 7296
 13393: 1010010200 21969
 13394: 1010020200 22050
 13395: 1010100200 22131
 13396: 0101102001 7588
 13397: 0101202001 7831
 13398: 1010200200 22374
 13399: 0102102001 8317
 13400: 0102202001 8560
 13401: 1011000200 22617
 13402: 0110102001 9046
 13403: 0110202001 9289
 13404: 0111002001 9532
 13405: 1111020010 29325
 13406: 1112020010 30054
 13407: 0112002001 10261
 13408: 1121020010 31512
 13409: 1122020010 32241
 13410: 1012000200 23346
 13411: 0120102001 11233
 13412: 0120202001 11476
 13413: 0121002001 11719
 13414: 1211020010 35886
 13415: 1212020010 36615
 13416: 0122002001 12448
 13417: 1221020010 38073
 13418: 1222020010 38802
 13419: 0102000020 8025
 13420: 1020010200 24156
 13421: 1020020200 24237
 13422: 1020100200 24318
 13423: 0201102001 14149
 13424: 0201202001 14392
 13425: 1020200200 24561
 13426: 0202102001 14878
 13427: 0202202001 15121
 13428: 1021000200 24804
 13429: 0210102001 15607
 13430: 0210202001 15850
 13431: 0211002001 16093
 13432: 2111020010 49008
 13433: 2112020010 49737
 13434: 0212002001 16822
 13435: 2121020010 51195
 13436: 2122020010 51924
 13437: 1022000200 25533
 13438: 0220102001 17794
 13439: 0220202001 18037
 13440: 0221002001 18280
 13441: 2211020010 55569
 13442: 2212020010 56298
 13443: 0222002001 19009
 13444: 2221020010 57756
 13445: 2222020010 58485
 13446: 0110000020 8754
 13447: 1100010200 26343
 13448: 1100020200 26424
 13449: 1100100200 26505
 13450: 1001102001 20710
 13451: 1001202001 20953
 13452: 1100200200 26748
 13453: 1002102001 21439
 13454: 1002202001 21682
 13455: 1101000200 26991
 13456: 1010102001 22168
 13457: 1010202001 22411
 13458: 1011002001 22654
 13459: 0111020011 9643
 13460: 0112020011 10372
 13461: 1012002001 23383
 13462: 0121020011 11830
 13463: 0122020011 12559
 13464: 1102000200 27720
 13465: 1020102001 24355
 13466: 1020202001 24598
 13467: 1021002001 24841
 13468: 0211020011 16204
 13469: 0212020011 16933
 13470: 1022002001 25570
 13471: 0221020011 18391
 13472: 0222020011 19120
 13473: 1110000200 28449
 13474: 1100102001 26542
 13475: 1100202001 26785
 13476: 1101002001 27028
 13477: 1011020011 22765
 13478: 1012020011 23494
 13479: 1102002001 27757
 13480: 1021020011 24952
 13481: 1022020011 25681
 13482: 1110002001 28486
 13483: 1101020011 27139
 13484: 1102020011 27868
 13485: 1110020011 28597
 13486: 1110200111 28930
 13487: 1120200111 31117
 13488: 1120020011 30784
 13489: 1210200111 35491
 13490: 1220200111 37678
 13491: 1120002001 30673
 13492: 1201020011 33700
 13493: 1202020011 34429
 13494: 1210020011 35158
 13495: 2110200111 48613
 13496: 2120200111 50800
 13497: 1220020011 37345
 13498: 2210200111 55174
 13499: 2220200111 57361
 13500: 1120000200 30636
 13501: 1200102001 33103
 13502: 1200202001 33346
 13503: 1201002001 33589
 13504: 2011020011 42448
 13505: 2012020011 43177
 13506: 1202002001 34318
 13507: 2021020011 44635
 13508: 2022020011 45364
 13509: 1210002001 35047
 13510: 2101020011 46822
 13511: 2102020011 47551
 13512: 2110020011 48280
 13513: 1110200112 28931
 13514: 1120200112 31118
 13515: 2120020011 50467
 13516: 1210200112 35492
 13517: 1220200112 37679
 13518: 1220002001 37234
 13519: 2201020011 53383
 13520: 2202020011 54112
 13521: 2210020011 54841
 13522: 2110200112 48614
 13523: 2120200112 50801
 13524: 2220020011 57028
 13525: 2210200112 55175
 13526: 2220200112 57362
 13527: 0120000020 10941
 13528: 1200010200 32904
 13529: 1200020200 32985
 13530: 1200100200 33066
 13531: 2001102001 40393
 13532: 2001202001 40636
 13533: 1200200200 33309
 13534: 2002102001 41122
 13535: 2002202001 41365
 13536: 1201000200 33552
 13537: 2010102001 41851
 13538: 2010202001 42094
 13539: 2011002001 42337
 13540: 0111020012 9644
 13541: 0112020012 10373
 13542: 2012002001 43066
 13543: 0121020012 11831
 13544: 0122020012 12560
 13545: 1202000200 34281
 13546: 2020102001 44038
 13547: 2020202001 44281
 13548: 2021002001 44524
 13549: 0211020012 16205
 13550: 0212020012 16934
 13551: 2022002001 45253
 13552: 0221020012 18392
 13553: 0222020012 19121
 13554: 1210000200 35010
 13555: 2100102001 46225
 13556: 2100202001 46468
 13557: 2101002001 46711
 13558: 1011020012 22766
 13559: 1012020012 23495
 13560: 2102002001 47440
 13561: 1021020012 24953
 13562: 1022020012 25682
 13563: 2110002001 48169
 13564: 1101020012 27140
 13565: 1102020012 27869
 13566: 1110020012 28598
 13567: 1110200121 28933
 13568: 1120200121 31120
 13569: 1120020012 30785
 13570: 1210200121 35494
 13571: 1220200121 37681
 13572: 2120002001 50356
 13573: 1201020012 33701
 13574: 1202020012 34430
 13575: 1210020012 35159
 13576: 2110200121 48616
 13577: 2120200121 50803
 13578: 1220020012 37346
 13579: 2210200121 55177
 13580: 2220200121 57364
 13581: 1220000200 37197
 13582: 2200102001 52786
 13583: 2200202001 53029
 13584: 2201002001 53272
 13585: 2011020012 42449
 13586: 2012020012 43178
 13587: 2202002001 54001
 13588: 2021020012 44636
 13589: 2022020012 45365
 13590: 2210002001 54730
 13591: 2101020012 46823
 13592: 2102020012 47552
 13593: 2110020012 48281
 13594: 1110200122 28934
 13595: 1120200122 31121
 13596: 2120020012 50468
 13597: 1210200122 35495
 13598: 1220200122 37682
 13599: 2220002001 56917
 13600: 2201020012 53384
 13601: 2202020012 54113
 13602: 2210020012 54842
 13603: 2110200122 48617
 13604: 2120200122 50804
 13605: 2220020012 57029
 13606: 2210200122 55178
 13607: 2220200122 57365
 13608: 0020000002 4376
 13609: 0200001020 13155
 13610: 0200002020 13182
 13611: 0200010020 13209
 13612: 2000110200 39708
 13613: 2000120200 39789
 13614: 0200020020 13290
 13615: 2000210200 39951
 13616: 2000220200 40032
 13617: 0200100020 13371
 13618: 2001010200 40194
 13619: 2001020200 40275
 13620: 2001100200 40356
 13621: 0011102002 3215
 13622: 0011202002 3458
 13623: 2001200200 40599
 13624: 0012102002 3944
 13625: 0012202002 4187
 13626: 0200200020 13614
 13627: 2002010200 40923
 13628: 2002020200 41004
 13629: 2002100200 41085
 13630: 0021102002 5402
 13631: 0021202002 5645
 13632: 2002200200 41328
 13633: 0022102002 6131
 13634: 0022202002 6374
 13635: 0201000020 13857
 13636: 2010010200 41652
 13637: 2010020200 41733
 13638: 2010100200 41814
 13639: 0101102002 7589
 13640: 0101202002 7832
 13641: 2010200200 42057
 13642: 0102102002 8318
 13643: 0102202002 8561
 13644: 2011000200 42300
 13645: 0110102002 9047
 13646: 0110202002 9290
 13647: 0111002002 9533
 13648: 1111020020 29328
 13649: 1112020020 30057
 13650: 0112002002 10262
 13651: 1121020020 31515
 13652: 1122020020 32244
 13653: 2012000200 43029
 13654: 0120102002 11234
 13655: 0120202002 11477
 13656: 0121002002 11720
 13657: 1211020020 35889
 13658: 1212020020 36618
 13659: 0122002002 12449
 13660: 1221020020 38076
 13661: 1222020020 38805
 13662: 0202000020 14586
 13663: 2020010200 43839
 13664: 2020020200 43920
 13665: 2020100200 44001
 13666: 0201102002 14150
 13667: 0201202002 14393
 13668: 2020200200 44244
 13669: 0202102002 14879
 13670: 0202202002 15122
 13671: 2021000200 44487
 13672: 0210102002 15608
 13673: 0210202002 15851
 13674: 0211002002 16094
 13675: 2111020020 49011
 13676: 2112020020 49740
 13677: 0212002002 16823
 13678: 2121020020 51198
 13679: 2122020020 51927
 13680: 2022000200 45216
 13681: 0220102002 17795
 13682: 0220202002 18038
 13683: 0221002002 18281
 13684: 2211020020 55572
 13685: 2212020020 56301
 13686: 0222002002 19010
 13687: 2221020020 57759
 13688: 2222020020 58488
 13689: 0210000020 15315
 13690: 2100010200 46026
 13691: 2100020200 46107
 13692: 2100100200 46188
 13693: 1001102002 20711
 13694: 1001202002 20954
 13695: 2100200200 46431
 13696: 1002102002 21440
 13697: 1002202002 21683
 13698: 2101000200 46674
 13699: 1010102002 22169
 13700: 1010202002 22412
 13701: 1011002002 22655
 13702: 0111020021 9646
 13703: 0112020021 10375
 13704: 1012002002 23384
 13705: 0121020021 11833
 13706: 0122020021 12562
 13707: 2102000200 47403
 13708: 1020102002 24356
 13709: 1020202002 24599
 13710: 1021002002 24842
 13711: 0211020021 16207
 13712: 0212020021 16936
 13713: 1022002002 25571
 13714: 0221020021 18394
 13715: 0222020021 19123
 13716: 2110000200 48132
 13717: 1100102002 26543
 13718: 1100202002 26786
 13719: 1101002002 27029
 13720: 1011020021 22768
 13721: 1012020021 23497
 13722: 1102002002 27758
 13723: 1021020021 24955
 13724: 1022020021 25684
 13725: 1110002002 28487
 13726: 1101020021 27142
 13727: 1102020021 27871
 13728: 1110020021 28600
 13729: 1110200211 28939
 13730: 1120200211 31126
 13731: 1120020021 30787
 13732: 1210200211 35500
 13733: 1220200211 37687
 13734: 1120002002 30674
 13735: 1201020021 33703
 13736: 1202020021 34432
 13737: 1210020021 35161
 13738: 2110200211 48622
 13739: 2120200211 50809
 13740: 1220020021 37348
 13741: 2210200211 55183
 13742: 2220200211 57370
 13743: 2120000200 50319
 13744: 1200102002 33104
 13745: 1200202002 33347
 13746: 1201002002 33590
 13747: 2011020021 42451
 13748: 2012020021 43180
 13749: 1202002002 34319
 13750: 2021020021 44638
 13751: 2022020021 45367
 13752: 1210002002 35048
 13753: 2101020021 46825
 13754: 2102020021 47554
 13755: 2110020021 48283
 13756: 1110200212 28940
 13757: 1120200212 31127
 13758: 2120020021 50470
 13759: 1210200212 35501
 13760: 1220200212 37688
 13761: 1220002002 37235
 13762: 2201020021 53386
 13763: 2202020021 54115
 13764: 2210020021 54844
 13765: 2110200212 48623
 13766: 2120200212 50810
 13767: 2220020021 57031
 13768: 2210200212 55184
 13769: 2220200212 57371
 13770: 0220000020 17502
 13771: 2200010200 52587
 13772: 2200020200 52668
 13773: 2200100200 52749
 13774: 2001102002 40394
 13775: 2001202002 40637
 13776: 2200200200 52992
 13777: 2002102002 41123
 13778: 2002202002 41366
 13779: 2201000200 53235
 13780: 2010102002 41852
 13781: 2010202002 42095
 13782: 2011002002 42338
 13783: 0111020022 9647
 13784: 0112020022 10376
 13785: 2012002002 43067
 13786: 0121020022 11834
 13787: 0122020022 12563
 13788: 2202000200 53964
 13789: 2020102002 44039
 13790: 2020202002 44282
 13791: 2021002002 44525
 13792: 0211020022 16208
 13793: 0212020022 16937
 13794: 2022002002 45254
 13795: 0221020022 18395
 13796: 0222020022 19124
 13797: 2210000200 54693
 13798: 2100102002 46226
 13799: 2100202002 46469
 13800: 2101002002 46712
 13801: 1011020022 22769
 13802: 1012020022 23498
 13803: 2102002002 47441
 13804: 1021020022 24956
 13805: 1022020022 25685
 13806: 2110002002 48170
 13807: 1101020022 27143
 13808: 1102020022 27872
 13809: 1110020022 28601
 13810: 1110200221 28942
 13811: 1120200221 31129
 13812: 1120020022 30788
 13813: 1210200221 35503
 13814: 1220200221 37690
 13815: 2120002002 50357
 13816: 1201020022 33704
 13817: 1202020022 34433
 13818: 1210020022 35162
 13819: 2110200221 48625
 13820: 2120200221 50812
 13821: 1220020022 37349
 13822: 2210200221 55186
 13823: 2220200221 57373
 13824: 2220000200 56880
 13825: 2200102002 52787
 13826: 2200202002 53030
 13827: 2201002002 53273
 13828: 2011020022 42452
 13829: 2012020022 43181
 13830: 2202002002 54002
 13831: 2021020022 44639
 13832: 2022020022 45368
 13833: 2210002002 54731
 13834: 2101020022 46826
 13835: 2102020022 47555
 13836: 2110020022 48284
 13837: 1110200222 28943
 13838: 1120200222 31130
 13839: 2120020022 50471
 13840: 1210200222 35504
 13841: 1220200222 37691
 13842: 2220002002 56918
 13843: 2201020022 53387
 13844: 2202020022 54116
 13845: 2210020022 54845
 13846: 2110200222 48626
 13847: 2120200222 50813
 13848: 2220020022 57032
 13849: 2210200222 55187
 13850: 2220200222 57374
 13851: 0100000002 6563
 13852: 1000001020 19716
 13853: 1000002020 19743
 13854: 1000010020 19770
 13855: 0000110201 343
 13856: 0000120201 424
 13857: 1000020020 19851
 13858: 0000210201 586
 13859: 0000220201 667
 13860: 1000100020 19932
 13861: 0001010201 829
 13862: 0001020201 910
 13863: 0001100201 991
 13864: 0011102010 3216
 13865: 0011202010 3459
 13866: 0001200201 1234
 13867: 0012102010 3945
 13868: 0012202010 4188
 13869: 1000200020 20175
 13870: 0002010201 1558
 13871: 0002020201 1639
 13872: 0002100201 1720
 13873: 0021102010 5403
 13874: 0021202010 5646
 13875: 0002200201 1963
 13876: 0022102010 6132
 13877: 0022202010 6375
 13878: 1001000020 20418
 13879: 0010010201 2287
 13880: 0010020201 2368
 13881: 0010100201 2449
 13882: 0101102010 7590
 13883: 0101202010 7833
 13884: 0010200201 2692
 13885: 0102102010 8319
 13886: 0102202010 8562
 13887: 0011000201 2935
 13888: 0110102010 9048
 13889: 0110202010 9291
 13890: 0111002010 9534
 13891: 1111020100 29331
 13892: 1112020100 30060
 13893: 0112002010 10263
 13894: 1121020100 31518
 13895: 1122020100 32247
 13896: 0012000201 3664
 13897: 0120102010 11235
 13898: 0120202010 11478
 13899: 0121002010 11721
 13900: 1211020100 35892
 13901: 1212020100 36621
 13902: 0122002010 12450
 13903: 1221020100 38079
 13904: 1222020100 38808
 13905: 1002000020 21147
 13906: 0020010201 4474
 13907: 0020020201 4555
 13908: 0020100201 4636
 13909: 0201102010 14151
 13910: 0201202010 14394
 13911: 0020200201 4879
 13912: 0202102010 14880
 13913: 0202202010 15123
 13914: 0021000201 5122
 13915: 0210102010 15609
 13916: 0210202010 15852
 13917: 0211002010 16095
 13918: 2111020100 49014
 13919: 2112020100 49743
 13920: 0212002010 16824
 13921: 2121020100 51201
 13922: 2122020100 51930
 13923: 0022000201 5851
 13924: 0220102010 17796
 13925: 0220202010 18039
 13926: 0221002010 18282
 13927: 2211020100 55575
 13928: 2212020100 56304
 13929: 0222002010 19011
 13930: 2221020100 57762
 13931: 2222020100 58491
 13932: 1010000020 21876
 13933: 0100010201 6661
 13934: 0100020201 6742
 13935: 0100100201 6823
 13936: 1001102010 20712
 13937: 1001202010 20955
 13938: 0100200201 7066
 13939: 1002102010 21441
 13940: 1002202010 21684
 13941: 0101000201 7309
 13942: 1010102010 22170
 13943: 1010202010 22413
 13944: 1011002010 22656
 13945: 0111020101 9649
 13946: 0112020101 10378
 13947: 1012002010 23385
 13948: 0121020101 11836
 13949: 0122020101 12565
 13950: 0102000201 8038
 13951: 1020102010 24357
 13952: 1020202010 24600
 13953: 1021002010 24843
 13954: 0211020101 16210
 13955: 0212020101 16939
 13956: 1022002010 25572
 13957: 0221020101 18397
 13958: 0222020101 19126
 13959: 0110000201 8767
 13960: 1100102010 26544
 13961: 1100202010 26787
 13962: 1101002010 27030
 13963: 1011020101 22771
 13964: 1012020101 23500
 13965: 1102002010 27759
 13966: 1021020101 24958
 13967: 1022020101 25687
 13968: 1110002010 28488
 13969: 1101020101 27145
 13970: 1102020101 27874
 13971: 1110020101 28603
 13972: 1110201011 28948
 13973: 1120201011 31135
 13974: 1120020101 30790
 13975: 1210201011 35509
 13976: 1220201011 37696
 13977: 1120002010 30675
 13978: 1201020101 33706
 13979: 1202020101 34435
 13980: 1210020101 35164
 13981: 2110201011 48631
 13982: 2120201011 50818
 13983: 1220020101 37351
 13984: 2210201011 55192
 13985: 2220201011 57379
 13986: 0120000201 10954
 13987: 1200102010 33105
 13988: 1200202010 33348
 13989: 1201002010 33591
 13990: 2011020101 42454
 13991: 2012020101 43183
 13992: 1202002010 34320
 13993: 2021020101 44641
 13994: 2022020101 45370
 13995: 1210002010 35049
 13996: 2101020101 46828
 13997: 2102020101 47557
 13998: 2110020101 48286
 13999: 1110201012 28949
 14000: 1120201012 31136
 14001: 2120020101 50473
 14002: 1210201012 35510
 14003: 1220201012 37697
 14004: 1220002010 37236
 14005: 2201020101 53389
 14006: 2202020101 54118
 14007: 2210020101 54847
 14008: 2110201012 48632
 14009: 2120201012 50819
 14010: 2220020101 57034
 14011: 2210201012 55193
 14012: 2220201012 57380
 14013: 1020000020 24063
 14014: 0200010201 13222
 14015: 0200020201 13303
 14016: 0200100201 13384
 14017: 2001102010 40395
 14018: 2001202010 40638
 14019: 0200200201 13627
 14020: 2002102010 41124
 14021: 2002202010 41367
 14022: 0201000201 13870
 14023: 2010102010 41853
 14024: 2010202010 42096
 14025: 2011002010 42339
 14026: 0111020102 9650
 14027: 0112020102 10379
 14028: 2012002010 43068
 14029: 0121020102 11837
 14030: 0122020102 12566
 14031: 0202000201 14599
 14032: 2020102010 44040
 14033: 2020202010 44283
 14034: 2021002010 44526
 14035: 0211020102 16211
 14036: 0212020102 16940
 14037: 2022002010 45255
 14038: 0221020102 18398
 14039: 0222020102 19127
 14040: 0210000201 15328
 14041: 2100102010 46227
 14042: 2100202010 46470
 14043: 2101002010 46713
 14044: 1011020102 22772
 14045: 1012020102 23501
 14046: 2102002010 47442
 14047: 1021020102 24959
 14048: 1022020102 25688
 14049: 2110002010 48171
 14050: 1101020102 27146
 14051: 1102020102 27875
 14052: 1110020102 28604
 14053: 1110201021 28951
 14054: 1120201021 31138
 14055: 1120020102 30791
 14056: 1210201021 35512
 14057: 1220201021 37699
 14058: 2120002010 50358
 14059: 1201020102 33707
 14060: 1202020102 34436
 14061: 1210020102 35165
 14062: 2110201021 48634
 14063: 2120201021 50821
 14064: 1220020102 37352
 14065: 2210201021 55195
 14066: 2220201021 57382
 14067: 0220000201 17515
 14068: 2200102010 52788
 14069: 2200202010 53031
 14070: 2201002010 53274
 14071: 2011020102 42455
 14072: 2012020102 43184
 14073: 2202002010 54003
 14074: 2021020102 44642
 14075: 2022020102 45371
 14076: 2210002010 54732
 14077: 2101020102 46829
 14078: 2102020102 47558
 14079: 2110020102 48287
 14080: 1110201022 28952
 14081: 1120201022 31139
 14082: 2120020102 50474
 14083: 1210201022 35513
 14084: 1220201022 37700
 14085: 2220002010 56919
 14086: 2201020102 53390
 14087: 2202020102 54119
 14088: 2210020102 54848
 14089: 2110201022 48635
 14090: 2120201022 50822
 14091: 2220020102 57035
 14092: 2210201022 55196
 14093: 2220201022 57383
 14094: 1100000020 26250
 14095: 1000010201 19783
 14096: 1000020201 19864
 14097: 1000100201 19945
 14098: 0001102011 1030
 14099: 0001202011 1273
 14100: 1000200201 20188
 14101: 0002102011 1759
 14102: 0002202011 2002
 14103: 1001000201 20431
 14104: 0010102011 2488
 14105: 0010202011 2731
 14106: 0011002011 2974
 14107: 0111020110 9651
 14108: 0112020110 10380
 14109: 0012002011 3703
 14110: 0121020110 11838
 14111: 0122020110 12567
 14112: 1002000201 21160
 14113: 0020102011 4675
 14114: 0020202011 4918
 14115: 0021002011 5161
 14116: 0211020110 16212
 14117: 0212020110 16941
 14118: 0022002011 5890
 14119: 0221020110 18399
 14120: 0222020110 19128
 14121: 1010000201 21889
 14122: 0100102011 6862
 14123: 0100202011 7105
 14124: 0101002011 7348
 14125: 1011020110 22773
 14126: 1012020110 23502
 14127: 0102002011 8077
 14128: 1021020110 24960
 14129: 1022020110 25689
 14130: 0110002011 8806
 14131: 1101020110 27147
 14132: 1102020110 27876
 14133: 1110020110 28605
 14134: 1110201101 28954
 14135: 1120201101 31141
 14136: 1120020110 30792
 14137: 1210201101 35515
 14138: 1220201101 37702
 14139: 0120002011 10993
 14140: 1201020110 33708
 14141: 1202020110 34437
 14142: 1210020110 35166
 14143: 2110201101 48637
 14144: 2120201101 50824
 14145: 1220020110 37353
 14146: 2210201101 55198
 14147: 2220201101 57385
 14148: 1020000201 24076
 14149: 0200102011 13423
 14150: 0200202011 13666
 14151: 0201002011 13909
 14152: 2011020110 42456
 14153: 2012020110 43185
 14154: 0202002011 14638
 14155: 2021020110 44643
 14156: 2022020110 45372
 14157: 0210002011 15367
 14158: 2101020110 46830
 14159: 2102020110 47559
 14160: 2110020110 48288
 14161: 1110201102 28955
 14162: 1120201102 31142
 14163: 2120020110 50475
 14164: 1210201102 35516
 14165: 1220201102 37703
 14166: 0220002011 17554
 14167: 2201020110 53391
 14168: 2202020110 54120
 14169: 2210020110 54849
 14170: 2110201102 48638
 14171: 2120201102 50825
 14172: 2220020110 57036
 14173: 2210201102 55199
 14174: 2220201102 57386
 14175: 1100000201 26263
 14176: 1000102011 19984
 14177: 1000202011 20227
 14178: 1001002011 20470
 14179: 0011020111 3091
 14180: 0012020111 3820
 14181: 1002002011 21199
 14182: 0021020111 5278
 14183: 0022020111 6007
 14184: 1010002011 21928
 14185: 0101020111 7465
 14186: 0102020111 8194
 14187: 0110020111 8923
 14188: 1110201110 28956
 14189: 1120201110 31143
 14190: 0120020111 11110
 14191: 1210201110 35517
 14192: 1220201110 37704
 14193: 1020002011 24115
 14194: 0201020111 14026
 14195: 0202020111 14755
 14196: 0210020111 15484
 14197: 2110201110 48639
 14198: 2120201110 50826
 14199: 0220020111 17671
 14200: 2210201110 55200
 14201: 2220201110 57387
 14202: 1100002011 26302
 14203: 1001020111 20587
 14204: 1002020111 21316
 14205: 1010020111 22045
 14206: 0110201111 9274
 14207: 0120201111 11461
 14208: 1020020111 24232
 14209: 0210201111 15835
 14210: 0220201111 18022
 14211: 1100020111 26419
 14212: 1010201111 22396
 14213: 1020201111 24583
 14214: 1100201111 26770
 14215: 1102011111 27823
 14216: 1202011111 34384
 14217: 1200201111 33331
 14218: 2102011111 47506
 14219: 2202011111 54067
 14220: 1200020111 32980
 14221: 2010201111 42079
 14222: 2020201111 44266
 14223: 2100201111 46453
 14224: 1102011112 27824
 14225: 1202011112 34385
 14226: 2200201111 53014
 14227: 2102011112 47507
 14228: 2202011112 54068
 14229: 1200002011 32863
 14230: 2001020111 40270
 14231: 2002020111 40999
 14232: 2010020111 41728
 14233: 0110201112 9275
 14234: 0120201112 11462
 14235: 2020020111 43915
 14236: 0210201112 15836
 14237: 0220201112 18023
 14238: 2100020111 46102
 14239: 1010201112 22397
 14240: 1020201112 24584
 14241: 1100201112 26771
 14242: 1102011121 27826
 14243: 1202011121 34387
 14244: 1200201112 33332
 14245: 2102011121 47509
 14246: 2202011121 54070
 14247: 2200020111 52663
 14248: 2010201112 42080
 14249: 2020201112 44267
 14250: 2100201112 46454
 14251: 1102011122 27827
 14252: 1202011122 34388
 14253: 2200201112 53015
 14254: 2102011122 47510
 14255: 2202011122 54071
 14256: 1200000201 32824
 14257: 2000102011 39667
 14258: 2000202011 39910
 14259: 2001002011 40153
 14260: 0011020112 3092
